QuarterYear,Quarter,Year,RntGrw
1Q95,1,1995,0.0119
2Q95,2,1995,0.0185
3Q95,3,1995,0.0197
4Q95,4,1995,0.0097
1Q96,1,1996,0.0104
2Q96,2,1996,0.0091
3Q96,3,1996,0.0134
4Q96,4,1996,0
1Q97,1,1997,0.0044
2Q97,2,1997,0.011
3Q97,3,1997,0.0129
4Q97,4,1997,0.0066
1Q98,1,1998,0.0011
2Q98,2,1998,0.0131
3Q98,3,1998,0.0109
4Q98,4,1998,4e-4
1Q99,1,1999,0.0135
2Q99,2,1999,0.0127
3Q99,3,1999,0.0041
4Q99,4,1999,-0.002
1Q00,1,2000,0.0021
2Q00,2,2000,0.0057
3Q00,3,2000,0.0085
4Q00,4,2000,0.003
1Q01,1,2001,0.0027
2Q01,2,2001,-0.005
3Q01,3,2001,0.0057
4Q01,4,2001,-0.069
1Q02,1,2002,-0.0396
2Q02,2,2002,-0.012
3Q02,3,2002,0.0039
4Q02,4,2002,-0.0325
1Q03,1,2003,6e-4
2Q03,2,2003,0.0022
3Q03,3,2003,-5e-4
4Q03,4,2003,-0.0162
1Q04,1,2004,0.0087
2Q04,2,2004,-0.0011
3Q04,3,2004,0.0217
4Q04,4,2004,-0.0145
1Q05,1,2005,1e-4
2Q05,2,2005,0.0181
3Q05,3,2005,0.0183
4Q05,4,2005,0.0051
1Q06,1,2006,7e-4
2Q06,2,2006,0.0162
3Q06,3,2006,0.0226
4Q06,4,2006,0.0084
1Q07,1,2007,9e-4
2Q07,2,2007,0.016
3Q07,3,2007,0.0182
4Q07,4,2007,-0.0076
1Q08,1,2008,-0.0069
2Q08,2,2008,0.0026
3Q08,3,2008,0.0071
4Q08,4,2008,-0.0279
1Q09,1,2009,-0.0345
2Q09,2,2009,-0.0173
3Q09,3,2009,-0.0156
4Q09,4,2009,-0.0126
1Q10,1,2010,0.0055
2Q10,2,2010,0.0132
3Q10,3,2010,0.0145
4Q10,4,2010,-0.0061
1Q11,1,2011,0.0155
2Q11,2,2011,0.0294
3Q11,3,2011,0.0278
4Q11,4,2011,-0.0051
1Q12,1,2012,0.0149
2Q12,2,2012,0.0302
3Q12,3,2012,0.0179
4Q12,4,2012,-0.0092
1Q13,1,2013,0.0025
2Q13,2,2013,0.0272
3Q13,3,2013,0.0088
4Q13,4,2013,-0.0105
1Q14,1,2014,0.0027
2Q14,2,2014,0.0282
3Q14,3,2014,0.0151
4Q14,4,2014,-0.0012
1Q15,1,2015,0.0019
2Q15,2,2015,0.0372
3Q15,3,2015,0.0211
4Q15,4,2015,-0.0062
1Q16,1,2016,0.0068
2Q16,2,2016,0.0271
3Q16,3,2016,0.0164
4Q16,4,2016,-0.0081
1Q17,1,2017,0.0019
2Q17,2,2017,0.0225
3Q17,3,2017,0.0091
4Q17,4,2017,-0.0153
1Q18,1,2018,0.0064
2Q18,2,2018,0.0274
3Q18,3,2018,0.0103
4Q18,4,2018,-0.0089
1Q19,1,2019,0.0124
2Q19,2,2019,0.0275
3Q19,3,2019,0.0147
4Q19,4,2019,-0.0102
1Q20,1,2020,-0.008
2Q20,2,2020,0.022
3Q20,3,2020,0.021
4Q20,4,2020,-0.002
1Q21,1,1921,-0.01
2Q21,2,1921,0.016
3Q21,3,1921,0.021
4Q21,4,1921,0.006
1Q22,1,1922,-0.006
2Q22,2,1922,0.014
3Q22,3,1922,0.021
4Q22,4,1922,0.009
1Q23,1,1923,-0.007
2Q23,2,1923,0.009
3Q23,3,1923,0.02
4Q23,4,1923,0.009
1Q24,1,1924,-0.001
2Q24,2,1924,0.009
3Q24,3,1924,0.016
4Q24,4,1924,0.009
1Q25,1,1925,0.004
2Q25,2,1925,0.009
