"","Month","Sales","Customers"
"1","1-01",266,608
"2","1-02",145.9,215
"3","1-03",183.1,228
"4","1-04",119.3,158
"5","1-05",180.3,461
"6","1-06",168.5,437
"7","1-07",231.8,650
"8","1-08",224.5,376
"9","1-09",192.8,336
"10","1-10",122.9,64
"11","1-11",336.5,635
"12","1-12",185.9,240
"13","2-01",194.3,199
"14","2-02",149.5,119
"15","2-03",210.1,576
"16","2-04",273.3,443
"17","2-05",191.4,443
"18","2-06",287,499
"19","2-07",226,309
"20","2-08",303.6,853
"21","2-09",289.9,781
"22","2-10",421.6,1112
"23","2-11",264.5,386
"24","2-12",342.3,898
"25","3-01",339.7,645
"26","3-02",440.4,1078
"27","3-03",315.9,561
"28","3-04",439.3,1119
"29","3-05",401.3,793
"30","3-06",437.4,842
"31","3-07",575.5,1171
"32","3-08",407.6,1070
"33","3-09",682,1611
"34","3-10",475.3,1065
"35","3-11",581.3,1147
"36","3-12",646.9,1319
